trial_name,stage,batch_size,code_num,best_val_loss,clip_idx,file,start,tokens,mse_all,mae_all,trans_rmse,trans_mae,rot_geod_deg_mean,rot_geod_deg_p95,root_geod_deg_mean,bodyhands_geod_deg_mean,pose_axisangle_mse,betas_mae,trans_vel_rmse,mpjpe_mm,mpjpe_pa_mm
batch_sweep_bs4096_code512,batch_sweep,4096,512,0.2785678505897522,3,23YW07EXh34_6-5-rgb_front.pkl,28,16,0.025806942954659462,0.07406231015920639,0.0013124961405992508,0.0010308491764590144,9.045564651489258,37.14559555053711,2.8392179012298584,9.167258262634277,0.02476961724460125,0.16074714064598083,0.0002986688632518053,27.69187355041504,27.014331817626953
batch_sweep_bs4096_code512,batch_sweep,4096,512,0.2785678505897522,4,F0CLgejV5_k_0-5-rgb_front.pkl,14,16,0.022029539570212364,0.08012828975915909,0.002419064985588193,0.0017966507002711296,9.84251594543457,31.76140022277832,3.7871646881103516,9.961247444152832,0.021539313718676567,0.1344110071659088,0.0005316963652148843,38.49561309814453,37.1041259765625
batch_sweep_bs4096_code512,batch_sweep,4096,512,0.2785678505897522,5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,16,0.013280628249049187,0.057995643466711044,0.0009547316003590822,0.0007213868084363639,7.451656818389893,26.492897033691406,4.139362812042236,7.516603469848633,0.0139454435557127,0.0625891163945198,0.00022726794122718275,33.24974060058594,33.02589416503906
codebook_sweep_bs4096_code512,codebook_sweep,4096,512,0.2791029810905456,1,doMosV-zfCI_22-2-rgb_front.pkl,38,16,0.025706138461828232,0.08287500590085983,0.0017852371092885733,0.001397381187416613,9.582616806030273,31.0888729095459,3.105809211730957,9.709612846374512,0.02031685784459114,0.22590701282024384,0.00035220064455643296,46.272029876708984,45.55842971801758
codebook_sweep_bs4096_code512,codebook_sweep,4096,512,0.2791029810905456,2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,16,0.021602274850010872,0.07177085429430008,0.0015444360906258225,0.0011666546342894435,9.160346031188965,31.042856216430664,2.9728405475616455,9.281668663024902,0.02177516371011734,0.11551602184772491,0.0003860018914565444,36.437896728515625,36.38755798339844
codebook_sweep_bs4096_code512,codebook_sweep,4096,512,0.2791029810905456,3,23YW07EXh34_6-5-rgb_front.pkl,28,16,0.0174894779920578,0.062397927045822144,0.0013066948158666492,0.0010262574069201946,8.000626564025879,30.026525497436523,2.0660722255706787,8.11699104309082,0.017995372414588928,0.08004303276538849,0.0002830224111676216,24.291418075561523,24.02145767211914
codebook_sweep_bs4096_code512,codebook_sweep,4096,512,0.2791029810905456,4,F0CLgejV5_k_0-5-rgb_front.pkl,14,16,0.022166630253195763,0.08082475513219833,0.0024422795977443457,0.0018406797898933291,10.060288429260254,31.608232498168945,4.735771656036377,10.164690971374512,0.02204568311572075,0.11648813635110855,0.0005443483823910356,37.489013671875,37.50711441040039
codebook_sweep_bs4096_code512,codebook_sweep,4096,512,0.2791029810905456,5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,16,0.01356989424675703,0.05873053893446922,0.0010329456999897957,0.0007663010619580746,7.598267555236816,25.765762329101562,3.978165864944458,7.66925048828125,0.0142098693177104,0.05761765316128731,0.0002322052896488458,30.332849502563477,30.11187171936035
batch_sweep_bs3072_code512,batch_sweep,3072,512,0.2798714637756347,1,doMosV-zfCI_22-2-rgb_front.pkl,38,16,0.0237303227186203,0.07877051830291748,0.0017194419633597136,0.0013268891489133239,9.57530689239502,31.99489974975586,3.469404697418213,9.695030212402344,0.020871711894869804,0.16547128558158875,0.00034294399665668607,43.931766510009766,43.2220458984375
batch_sweep_bs3072_code512,batch_sweep,3072,512,0.2798714637756347,2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,16,0.025747720152139664,0.0785437673330307,0.0015127413207665086,0.0011489724274724722,9.814406394958496,33.15162658691406,8.730579376220703,9.835657119750977,0.023554543033242226,0.1701689511537552,0.0003903273609466851,66.49735260009766,66.31951141357422
